'1989-12-05 04:00:00', '+48 197040927', '+48 197673773'
'1995-04-20 01:00:00', '+48 347683784', '+48 238349542'
'1993-03-10 21:00:00', '+48 658717003', '+48 784145162'
'1988-01-04 04:00:00', '+48 624877729', '+48 094510892'
'2004-08-10 10:00:00', '+48 223305536', '+48 914762893'
'1990-10-31 10:00:00', '+48 842841637', '+48 611786709'
'2005-08-18 03:00:00', '+48 859081087', '+48 173476650'
'1994-01-10 09:00:00', '+48 751699724', '+48 485224896'
'1996-06-09 21:00:00', '+48 501498318', '+48 723220471'
'2008-07-17 09:00:00', '+48 190453973', '+48 928152969'
'2000-11-04 16:00:00', '+48 523316164', '+48 964858639'
'2022-01-08 21:00:00', '+48 573897819', '+48 013212536'
'2008-11-04 04:00:00', '+48 080063638', '+48 056974548'
'1990-01-18 22:00:00', '+48 028254594', '+48 542123090'
'2018-10-09 15:00:00', '+48 024661658', '+48 734900672'
'2010-03-24 01:00:00', '+48 308506312', '+48 243784512'
'2013-11-16 01:00:00', '+48 126701370', '+48 582198882'
'1994-04-25 15:00:00', '+48 242559301', '+48 235467613'
'2000-10-09 23:00:00', '+48 832322793', '+48 460604709'
'2012-03-18 18:00:00', '+48 879926935', '+48 006294265'
'1990-11-20 15:00:00', '+48 357047929', '+48 535157873'
'1997-11-14 02:00:00', '+48 614354921', '+48 099536684'
'1988-09-22 04:00:00', '+48 339531403', '+48 775804303'
'2018-01-11 20:00:00', '+48 806945698', '+48 368062224'
'1992-12-06 10:00:00', '+48 985554048', '+48 608428908'
'2018-08-20 12:00:00', '+48 501253852', '+48 375696973'
'2019-02-07 05:00:00', '+48 796408409', '+48 905433169'
'2010-10-09 22:00:00', '+48 983506399', '+48 920995396'
'1997-10-29 08:00:00', '+48 819171455', '+48 755182526'
'1992-07-29 21:00:00', '+48 141537231', '+48 535052915'
'1990-03-05 04:00:00', '+48 651592398', '+48 344893100'
'2000-06-16 02:00:00', '+48 877266374', '+48 744270089'
'1991-08-17 21:00:00', '+48 795433574', '+48 386041495'
'2002-11-03 22:00:00', '+48 458933167', '+48 164327770'
'2020-02-06 00:00:00', '+48 943960800', '+48 330710526'
'2023-03-06 23:00:00', '+48 077326422', '+48 385166707'
'1990-07-26 22:00:00', '+48 827675728', '+48 091894375'
'2003-04-15 20:00:00', '+48 955016204', '+48 388990219'
'2014-03-21 16:00:00', '+48 238722564', '+48 717341623'
'1994-01-04 17:00:00', '+48 605920201', '+48 098355445'
'2000-09-18 20:00:00', '+48 716943513', '+48 071596706'
'1993-11-18 17:00:00', '+48 913851530', '+48 178413983'
'1988-01-30 11:00:00', '+48 331826526', '+48 803712225'
'1992-11-08 11:00:00', '+48 598289528', '+48 824548864'
'1989-05-05 02:00:00', '+48 606673080', '+48 743746229'
'2000-11-28 22:00:00', '+48 973047236', '+48 916101323'
'2002-09-11 13:00:00', '+48 027936541', '+48 879075199'
'2010-07-26 03:00:00', '+48 521440569', '+48 232458587'
'2007-02-21 11:00:00', '+48 449286025', '+48 777353549'
'1996-05-23 03:00:00', '+48 219712491', '+48 061270684'
'2010-08-22 01:00:00', '+48 446950438', '+48 565725697'
'2009-10-23 07:00:00', '+48 997807495', '+48 838393804'
'2006-05-23 02:00:00', '+48 054982869', '+48 015537469'
'1994-10-06 01:00:00', '+48 145993958', '+48 047368979'
'1990-07-24 03:00:00', '+48 336914238', '+48 729534421'
'2012-10-04 07:00:00', '+48 562256756', '+48 941945471'
'2005-02-24 07:00:00', '+48 397238886', '+48 707790083'
'2016-07-28 08:00:00', '+48 555973064', '+48 201277341'
'2013-10-13 17:00:00', '+48 709125682', '+48 902476042'
'2009-02-02 18:00:00', '+48 749198662', '+48 397551133'
'2010-11-05 08:00:00', '+48 165664818', '+48 187714484'
'2001-05-18 21:00:00', '+48 685822454', '+48 103558042'
'1994-05-17 11:00:00', '+48 253834592', '+48 282446878'
'2018-09-01 22:00:00', '+48 712325470', '+48 440861476'
'2019-02-11 04:00:00', '+48 627777159', '+48 340759306'
'2019-08-04 18:00:00', '+48 883615072', '+48 070184068'
'2013-06-20 19:00:00', '+48 033014711', '+48 692151008'
'2018-08-01 16:00:00', '+48 065149426', '+48 616255273'
'1995-08-27 07:00:00', '+48 269845406', '+48 530974366'
'1985-10-08 16:00:00', '+48 432418420', '+48 844397000'
'2014-10-18 01:00:00', '+48 885968554', '+48 361681777'
'2017-08-30 06:00:00', '+48 108046896', '+48 721390814'
'2015-09-08 18:00:00', '+48 816347070', '+48 599046609'
'1987-08-29 13:00:00', '+48 128574777', '+48 525715676'
'2007-12-04 12:00:00', '+48 591799447', '+48 590347331'
'2005-01-06 12:00:00', '+48 522892392', '+48 468533565'
'1989-01-15 19:00:00', '+48 532584778', '+48 445518750'
'2018-06-19 01:00:00', '+48 607488814', '+48 837815753'
'2014-11-16 00:00:00', '+48 606455844', '+48 635453005'
'1999-09-18 22:00:00', '+48 258817169', '+48 566852774'
'1985-12-20 08:00:00', '+48 291263084', '+48 789784187'
'2010-09-01 07:00:00', '+48 840845455', '+48 876809656'
'1992-01-16 03:00:00', '+48 665891704', '+48 306455227'
'2009-07-12 11:00:00', '+48 025094970', '+48 969486040'
'2019-10-15 04:00:00', '+48 708542630', '+48 163822841'
'2002-12-17 07:00:00', '+48 889583823', '+48 500224988'
'2013-03-03 05:00:00', '+48 437977952', '+48 476469306'
'2018-04-05 19:00:00', '+48 798180327', '+48 772565078'
'2022-05-06 16:00:00', '+48 443493070', '+48 250052958'
'2011-06-02 11:00:00', '+48 982874089', '+48 324087626'
'1999-12-29 18:00:00', '+48 858354814', '+48 987842557'
'1991-04-16 23:00:00', '+48 112540321', '+48 088069688'
'1987-12-26 14:00:00', '+48 458853981', '+48 435508027'
'2017-09-28 05:00:00', '+48 920388201', '+48 418396450'
'1993-04-24 14:00:00', '+48 687122884', '+48 414379951'
'1991-07-17 20:00:00', '+48 054807075', '+48 089843540'
'2002-01-05 01:00:00', '+48 729469593', '+48 187338880'
'2012-01-09 05:00:00', '+48 019670909', '+48 014802131'
'1998-10-05 20:00:00', '+48 142435959', '+48 960136823'
'2004-08-17 11:00:00', '+48 151979332', '+48 374664273'
'1996-07-20 20:00:00', '+48 811121993', '+48 105228377'
'2008-01-10 14:00:00', '+48 492175850', '+48 915508167'
'2007-07-06 07:00:00', '+48 155222353', '+48 972056837'
'2016-11-15 03:00:00', '+48 582653488', '+48 184552789'
'2018-11-03 12:00:00', '+48 356540675', '+48 826626492'
'1985-07-13 12:00:00', '+48 349276526', '+48 256610560'
'1994-12-31 01:00:00', '+48 098048574', '+48 668819739'
'2012-12-11 11:00:00', '+48 736939858', '+48 367688734'
'2001-06-25 04:00:00', '+48 486933250', '+48 966911414'
'2015-08-20 15:00:00', '+48 535521195', '+48 608265866'
'1998-08-15 15:00:00', '+48 299975345', '+48 869046698'
'2004-04-21 18:00:00', '+48 556961470', '+48 822153116'
'2016-03-21 00:00:00', '+48 573135797', '+48 457841890'
'1989-08-21 11:00:00', '+48 897478309', '+48 524789664'
'2012-09-30 23:00:00', '+48 684799482', '+48 064230360'
'2006-07-30 23:00:00', '+48 691248854', '+48 444734966'
'1990-04-28 01:00:00', '+48 380721841', '+48 277825087'
'2001-03-31 01:00:00', '+48 488354040', '+48 295131407'
'1986-03-28 18:00:00', '+48 675473756', '+48 583419614'
'1994-08-15 10:00:00', '+48 560894006', '+48 548270031'
'2001-02-04 12:00:00', '+48 815688637', '+48 035787752'
'1997-01-17 09:00:00', '+48 327463893', '+48 139198862'
'2014-11-28 03:00:00', '+48 558372667', '+48 624491420'
'2020-05-03 14:00:00', '+48 934291212', '+48 101473488'
'1996-07-19 00:00:00', '+48 607565191', '+48 245090333'
'2008-12-13 14:00:00', '+48 996191461', '+48 829345070'
'1996-03-27 19:00:00', '+48 304861784', '+48 876480339'
'2011-08-05 11:00:00', '+48 692284610', '+48 080657828'
'2005-05-20 19:00:00', '+48 288438880', '+48 244261222'
'1989-06-16 09:00:00', '+48 414406336', '+48 160136211'
'2008-03-20 21:00:00', '+48 907633751', '+48 428222002'
'1990-07-15 06:00:00', '+48 129863070', '+48 759918487'
'2003-11-04 20:00:00', '+48 587246983', '+48 172946543'
'2005-05-29 04:00:00', '+48 554278990', '+48 876673490'
'2023-01-10 16:00:00', '+48 400341852', '+48 000628180'
'2018-09-13 07:00:00', '+48 373226781', '+48 101734182'
'2011-04-25 00:00:00', '+48 358320134', '+48 898687414'
'2003-07-22 07:00:00', '+48 104636102', '+48 518290189'
'2017-12-13 16:00:00', '+48 754273671', '+48 278959803'
'2015-07-30 04:00:00', '+48 008082845', '+48 278462987'
'2018-03-24 04:00:00', '+48 052797382', '+48 467353547'
'2001-07-04 13:00:00', '+48 891929068', '+48 952527055'
'2009-12-19 22:00:00', '+48 723695032', '+48 470144106'
'2015-11-19 07:00:00', '+48 475239979', '+48 179332786'
'1988-05-27 04:00:00', '+48 319587841', '+48 284566638'
'2005-07-01 02:00:00', '+48 404908109', '+48 063455765'
'2019-05-10 02:00:00', '+48 583724883', '+48 850249569'
'2000-05-25 20:00:00', '+48 383406995', '+48 722602329'
'2003-09-04 16:00:00', '+48 718694726', '+48 579577600'
'2014-03-03 06:00:00', '+48 899307797', '+48 051281475'
'2010-10-04 12:00:00', '+48 533992184', '+48 624329195'
'1988-01-02 21:00:00', '+48 414181568', '+48 037339988'
'1996-10-16 01:00:00', '+48 030634221', '+48 230087605'
'2008-07-04 11:00:00', '+48 655734966', '+48 003979777'
'1991-03-04 17:00:00', '+48 161211776', '+48 236140633'
'2001-06-27 17:00:00', '+48 685239124', '+48 732068632'
'1988-12-15 01:00:00', '+48 696874975', '+48 436879125'
'1999-12-29 18:00:00', '+48 886514424', '+48 499659057'
'1993-01-24 22:00:00', '+48 027817532', '+48 314153491'
'2009-06-11 05:00:00', '+48 544968652', '+48 790853241'
'1988-06-04 21:00:00', '+48 516260805', '+48 000585922'
'2009-10-04 22:00:00', '+48 146880229', '+48 397216487'
'1987-09-29 13:00:00', '+48 834660791', '+48 607341693'
'1988-06-29 15:00:00', '+48 760778381', '+48 326231831'
'2005-01-04 19:00:00', '+48 995901900', '+48 691116854'
'2019-09-18 04:00:00', '+48 949712339', '+48 643897659'
'1990-01-13 03:00:00', '+48 196825699', '+48 960214008'
'2012-04-03 21:00:00', '+48 191932942', '+48 753945305'
'2000-06-03 10:00:00', '+48 908756718', '+48 204141420'
'2006-04-20 03:00:00', '+48 401948306', '+48 161001599'
'2015-03-29 14:00:00', '+48 208205464', '+48 720319599'
'2004-11-23 14:00:00', '+48 708770888', '+48 623470531'
'2022-09-27 12:00:00', '+48 508313331', '+48 342501991'
'1985-10-05 06:00:00', '+48 017991242', '+48 468088251'
'2007-08-26 12:00:00', '+48 900694579', '+48 567706701'
'2014-08-07 20:00:00', '+48 568771062', '+48 869990879'
'2012-10-14 01:00:00', '+48 631207765', '+48 402638887'
'2004-09-28 23:00:00', '+48 638099312', '+48 188082702'
'2020-06-18 05:00:00', '+48 587795319', '+48 291312951'
'2018-12-17 13:00:00', '+48 380100838', '+48 424087155'
'1991-05-07 11:00:00', '+48 960577589', '+48 716176287'
'1999-03-11 10:00:00', '+48 533703775', '+48 410085551'
'2008-04-21 01:00:00', '+48 076438495', '+48 170035326'
'1995-10-30 22:00:00', '+48 378735784', '+48 596723666'
'2010-09-26 12:00:00', '+48 813015010', '+48 155226245'
'2008-03-27 22:00:00', '+48 217548830', '+48 853065968'
'2015-10-07 00:00:00', '+48 969548853', '+48 190559026'
'2019-11-26 14:00:00', '+48 491733760', '+48 606071510'
'2002-03-13 09:00:00', '+48 500244270', '+48 414698575'
'2011-08-10 23:00:00', '+48 245921367', '+48 294701211'
'2005-06-28 16:00:00', '+48 008720931', '+48 462699013'
'1997-11-03 08:00:00', '+48 830911680', '+48 302380387'
'1986-05-14 01:00:00', '+48 922529410', '+48 398260552'
'2007-03-21 14:00:00', '+48 944931819', '+48 342389885'
'1988-05-21 22:00:00', '+48 865224922', '+48 906606068'
'1994-10-01 02:00:00', '+48 919092377', '+48 640891252'
'2004-08-29 01:00:00', '+48 654759857', '+48 337529947'
'2004-06-16 18:00:00', '+48 386266943', '+48 848238516'
'2002-06-23 12:00:00', '+48 663994430', '+48 234176266'
'1989-12-25 21:00:00', '+48 901438303', '+48 597240267'
'2009-08-05 15:00:00', '+48 604910410', '+48 452386321'
'1991-11-04 06:00:00', '+48 966674747', '+48 831658173'
'2015-02-13 18:00:00', '+48 697400489', '+48 928501152'
'2007-05-06 12:00:00', '+48 260261713', '+48 890816475'
'1997-02-06 21:00:00', '+48 099532890', '+48 763179767'
'2015-07-18 04:00:00', '+48 720149887', '+48 802789432'
'2000-10-11 01:00:00', '+48 122877414', '+48 527185589'
'2017-09-21 12:00:00', '+48 729290861', '+48 599423051'
'2021-07-09 08:00:00', '+48 140426411', '+48 432990076'
'2014-01-05 03:00:00', '+48 204818433', '+48 631250428'
'2018-04-04 10:00:00', '+48 096434530', '+48 273490393'
'1984-06-30 08:00:00', '+48 834485494', '+48 030977539'
'2022-07-18 05:00:00', '+48 580240045', '+48 515436555'
'2002-12-31 15:00:00', '+48 914450029', '+48 691130546'
'2002-04-18 21:00:00', '+48 206723456', '+48 909776529'
'2001-08-13 01:00:00', '+48 055598406', '+48 193403010'
'2014-01-10 17:00:00', '+48 624715499', '+48 220555906'
'1988-07-27 18:00:00', '+48 333016996', '+48 313267924'
'2015-07-15 13:00:00', '+48 976663605', '+48 864732601'
'2018-12-03 20:00:00', '+48 247914977', '+48 749282746'
'2007-11-16 02:00:00', '+48 569877151', '+48 899248457'
'1996-09-02 10:00:00', '+48 246452028', '+48 023307223'
'2016-10-13 18:00:00', '+48 570205234', '+48 224635748'
'2020-06-30 13:00:00', '+48 460811094', '+48 723551276'
'1997-08-28 14:00:00', '+48 820441144', '+48 758333221'
'1987-07-03 14:00:00', '+48 019554667', '+48 279365625'
'2004-08-31 11:00:00', '+48 951411192', '+48 131562477'
'2017-07-15 06:00:00', '+48 506664971', '+48 809245003'
'2008-10-16 04:00:00', '+48 526292060', '+48 708738333'
'1995-12-10 07:00:00', '+48 604179324', '+48 864127405'
'2015-02-26 13:00:00', '+48 389547121', '+48 498101179'
'2017-09-16 18:00:00', '+48 365088387', '+48 315163819'
'2009-06-13 13:00:00', '+48 929223355', '+48 017298217'
'2003-07-17 03:00:00', '+48 493048413', '+48 448629808'
'2021-08-18 14:00:00', '+48 447878735', '+48 925677690'
'1986-05-29 15:00:00', '+48 709165767', '+48 636962865'
'1990-01-29 20:00:00', '+48 973524757', '+48 457231491'
'1998-10-02 03:00:00', '+48 351330289', '+48 356239433'
'1997-01-21 14:00:00', '+48 723500185', '+48 596647725'
'1989-03-30 15:00:00', '+48 277567796', '+48 685967635'
'2003-09-17 06:00:00', '+48 463602801', '+48 838696999'
'2004-05-30 01:00:00', '+48 152235262', '+48 660543791'
'2010-11-04 13:00:00', '+48 699336666', '+48 763265124'
'2019-06-05 09:00:00', '+48 424897923', '+48 691258331'
'1996-10-07 01:00:00', '+48 066378233', '+48 188630961'
'1987-05-23 00:00:00', '+48 052366829', '+48 201222490'
'2015-07-01 10:00:00', '+48 801125323', '+48 424608096'
'1994-03-10 14:00:00', '+48 988777104', '+48 428887369'
'2006-08-15 23:00:00', '+48 559690566', '+48 866973336'
'1987-11-11 20:00:00', '+48 175494598', '+48 935893050'
'2009-02-12 07:00:00', '+48 331232532', '+48 905966865'
'1998-11-14 09:00:00', '+48 876016596', '+48 319883280'
'2012-08-29 06:00:00', '+48 721698944', '+48 489079659'
'1990-08-24 22:00:00', '+48 683660669', '+48 518863057'
'2021-02-13 07:00:00', '+48 675130678', '+48 095408380'
'2000-07-23 19:00:00', '+48 915874472', '+48 253921556'
'2016-03-19 00:00:00', '+48 019056460', '+48 772584403'
'2022-10-12 17:00:00', '+48 039894417', '+48 227166595'
'2006-08-02 03:00:00', '+48 915908086', '+48 063450493'
'2013-03-17 03:00:00', '+48 792264718', '+48 709103512'
'2013-12-13 00:00:00', '+48 716024880', '+48 556046313'
'2003-04-14 18:00:00', '+48 759232418', '+48 359215081'
'1986-06-14 12:00:00', '+48 586590676', '+48 375446386'
'1989-10-27 21:00:00', '+48 458008030', '+48 487551855'
'1988-02-26 21:00:00', '+48 616886528', '+48 937854870'
'1993-12-01 01:00:00', '+48 107982983', '+48 147343225'
'2009-02-24 09:00:00', '+48 526725076', '+48 214435152'
'2000-08-29 19:00:00', '+48 478119325', '+48 413706187'
'1993-01-16 01:00:00', '+48 843483401', '+48 387004587'
'2020-02-16 21:00:00', '+48 314078591', '+48 660171115'
'2005-07-06 22:00:00', '+48 382168316', '+48 213698550'
'1998-06-09 13:00:00', '+48 399277094', '+48 242316928'
'2006-10-25 16:00:00', '+48 494832759', '+48 526094797'
'1998-09-09 14:00:00', '+48 069994712', '+48 813342611'
'2001-09-29 02:00:00', '+48 081996653', '+48 453376955'
'2015-10-27 05:00:00', '+48 173363007', '+48 231170239'
'2015-12-04 05:00:00', '+48 656319072', '+48 954614373'
'2021-11-02 05:00:00', '+48 923359397', '+48 463267916'
'2007-03-24 04:00:00', '+48 764422474', '+48 874126501'
'1999-12-20 15:00:00', '+48 622303504', '+48 560831663'
'2008-07-26 16:00:00', '+48 619534916', '+48 800304918'
'2007-02-28 19:00:00', '+48 543986795', '+48 731676722'
'1989-11-05 01:00:00', '+48 825510884', '+48 463920209'
'2006-04-19 16:00:00', '+48 422061170', '+48 641848199'
'1986-07-17 06:00:00', '+48 666143715', '+48 591279189'
'2011-01-10 00:00:00', '+48 589227874', '+48 325057257'
'2004-04-18 09:00:00', '+48 176901754', '+48 138167065'
'1995-12-03 05:00:00', '+48 276979924', '+48 624008353'
'1991-02-18 01:00:00', '+48 473022165', '+48 852354231'
'1988-11-21 12:00:00', '+48 051395955', '+48 532461721'
'1998-11-21 04:00:00', '+48 214202873', '+48 176016098'
'1991-07-29 15:00:00', '+48 202970478', '+48 880632843'
'2009-01-24 05:00:00', '+48 652684365', '+48 677932372'
'2010-03-26 11:00:00', '+48 519299820', '+48 996746543'
'2004-11-07 02:00:00', '+48 139434860', '+48 597434398'
'2020-04-03 21:00:00', '+48 403284721', '+48 042023833'
'1988-09-17 05:00:00', '+48 076378247', '+48 283494889'
'2018-02-08 23:00:00', '+48 582512579', '+48 906627698'
'1997-11-13 03:00:00', '+48 933140287', '+48 121879299'
'1987-04-22 12:00:00', '+48 327543540', '+48 335558302'
'1997-02-15 02:00:00', '+48 496899451', '+48 575513205'
'1989-02-21 11:00:00', '+48 419629419', '+48 739754019'
'2000-12-21 11:00:00', '+48 078612892', '+48 582030593'
'2016-10-11 02:00:00', '+48 324689904', '+48 875946720'
'2016-09-11 01:00:00', '+48 932970141', '+48 102169980'
'1999-05-20 00:00:00', '+48 623654015', '+48 625519149'
'2016-07-19 17:00:00', '+48 795421681', '+48 808513469'
'1993-08-15 08:00:00', '+48 155490990', '+48 532228497'
'1988-04-23 18:00:00', '+48 060165620', '+48 298333679'
'2010-05-10 12:00:00', '+48 518507361', '+48 863424578'
'1991-05-31 13:00:00', '+48 995728843', '+48 903859521'
'1991-07-09 09:00:00', '+48 739224753', '+48 889075839'
'1997-01-19 08:00:00', '+48 590236005', '+48 230902063'
'1987-08-05 23:00:00', '+48 365344551', '+48 919463344'
'1993-06-22 23:00:00', '+48 688661208', '+48 374181828'
'2009-05-17 23:00:00', '+48 476345582', '+48 236257993'
'1993-01-22 17:00:00', '+48 522087498', '+48 121370474'
'1997-04-21 19:00:00', '+48 093139378', '+48 669171075'
'1990-01-10 02:00:00', '+48 352287115', '+48 044747803'
'1995-06-08 08:00:00', '+48 043333387', '+48 216779338'
'2002-10-03 21:00:00', '+48 620714971', '+48 616519073'
'1990-01-16 13:00:00', '+48 808845191', '+48 776963744'
'2016-04-02 06:00:00', '+48 307039272', '+48 904723710'
'2006-02-18 23:00:00', '+48 099434486', '+48 126072136'
'2008-11-07 10:00:00', '+48 552389840', '+48 974140866'
'2001-08-03 17:00:00', '+48 173124744', '+48 354122138'
'1993-11-07 03:00:00', '+48 345727612', '+48 309088984'
'2003-03-20 18:00:00', '+48 931365176', '+48 415952246'
'2014-11-22 23:00:00', '+48 217259065', '+48 892551285'
'2020-10-09 19:00:00', '+48 568629646', '+48 409256114'
'1984-06-18 14:00:00', '+48 132245596', '+48 380628459'
'1989-06-27 01:00:00', '+48 822816476', '+48 005870023'
'2004-08-15 23:00:00', '+48 104074501', '+48 384157076'
'2018-08-25 18:00:00', '+48 896954513', '+48 505180222'
'2012-03-27 23:00:00', '+48 435236318', '+48 629692322'
'2013-03-28 09:00:00', '+48 966284573', '+48 973431951'
'1999-02-02 11:00:00', '+48 444680537', '+48 974798707'
'2009-07-03 15:00:00', '+48 488492426', '+48 251878383'
'1997-05-03 17:00:00', '+48 787007204', '+48 759862092'
'2007-06-09 09:00:00', '+48 769484818', '+48 010838201'
'1988-04-15 02:00:00', '+48 799096482', '+48 787457323'
'1994-03-10 09:00:00', '+48 329855836', '+48 279283921'
'1993-11-10 16:00:00', '+48 418015975', '+48 825341654'
'1992-04-01 13:00:00', '+48 662189099', '+48 243163207'
'1993-11-18 21:00:00', '+48 878909885', '+48 716875047'
'1986-02-26 00:00:00', '+48 387586732', '+48 374964497'
'2002-03-19 18:00:00', '+48 431240214', '+48 121486720'
'2022-02-27 00:00:00', '+48 380395238', '+48 829040415'
'1991-12-18 15:00:00', '+48 841522045', '+48 767416462'
'2013-02-09 16:00:00', '+48 284975800', '+48 688980278'
'2006-04-05 14:00:00', '+48 394545691', '+48 672169150'
'2005-03-16 21:00:00', '+48 991918969', '+48 143169533'
'1992-03-18 00:00:00', '+48 719840975', '+48 362126093'
'1992-09-13 05:00:00', '+48 321063342', '+48 827290463'
'1994-04-02 04:00:00', '+48 595802046', '+48 144474105'
'2021-12-07 13:00:00', '+48 128249486', '+48 329772058'
'2020-06-20 01:00:00', '+48 364300708', '+48 211428559'
'1998-10-20 02:00:00', '+48 769022832', '+48 022227940'
'2000-01-04 06:00:00', '+48 204223041', '+48 231510586'
'2020-07-01 14:00:00', '+48 969661715', '+48 683975363'
'2013-10-21 16:00:00', '+48 643295908', '+48 762456481'
'2000-01-30 23:00:00', '+48 202244773', '+48 816599576'
'2005-02-17 15:00:00', '+48 102982577', '+48 641263636'
'2018-09-03 13:00:00', '+48 623881624', '+48 041394576'
'1987-04-08 19:00:00', '+48 655526980', '+48 556755693'
'1984-12-29 14:00:00', '+48 692878223', '+48 501284959'
'2011-05-09 10:00:00', '+48 116449263', '+48 773877937'
'1990-09-14 08:00:00', '+48 378072922', '+48 564109055'
'1996-11-12 11:00:00', '+48 432941503', '+48 727636088'
'2001-04-26 18:00:00', '+48 237823967', '+48 781194769'
'1989-11-01 17:00:00', '+48 018360057', '+48 354384370'
'2003-02-27 11:00:00', '+48 911942331', '+48 947419250'
'1986-01-28 21:00:00', '+48 265326525', '+48 091181214'
'1998-07-10 17:00:00', '+48 492190392', '+48 260894379'
'1992-09-16 20:00:00', '+48 551666279', '+48 748574025'
'1997-04-21 05:00:00', '+48 966830404', '+48 907958059'
'2021-01-09 21:00:00', '+48 724416984', '+48 011515667'
'2013-07-05 20:00:00', '+48 571691171', '+48 118003152'
'2016-04-15 07:00:00', '+48 770820413', '+48 681437672'
'2001-12-11 09:00:00', '+48 173248403', '+48 797408999'
'2020-10-07 17:00:00', '+48 960964738', '+48 029854697'
'2009-05-31 17:00:00', '+48 124684081', '+48 497097928'
'2013-04-20 21:00:00', '+48 311221346', '+48 403220745'
'2020-08-02 23:00:00', '+48 519413591', '+48 982634297'
'1987-02-20 07:00:00', '+48 591662737', '+48 499630268'
'2012-04-15 23:00:00', '+48 688430397', '+48 933402671'
'2016-09-01 07:00:00', '+48 403104783', '+48 102468631'
'1996-06-23 10:00:00', '+48 352358573', '+48 969694171'
'2002-08-10 11:00:00', '+48 681494977', '+48 077495828'
'2005-04-30 22:00:00', '+48 000026885', '+48 982883061'
'1985-02-02 06:00:00', '+48 723658315', '+48 640037471'
'2008-07-20 21:00:00', '+48 099079848', '+48 206828202'
'2017-09-01 20:00:00', '+48 223716932', '+48 932912209'
'2022-03-03 09:00:00', '+48 540143819', '+48 472127921'
'2008-06-12 19:00:00', '+48 744423631', '+48 373223307'
'1984-09-14 20:00:00', '+48 693075920', '+48 021722596'
'2005-07-08 02:00:00', '+48 996594823', '+48 607731580'
'2021-02-23 07:00:00', '+48 351886509', '+48 660632434'
'2021-06-01 03:00:00', '+48 675811237', '+48 820191922'
'2005-04-18 02:00:00', '+48 196732854', '+48 839926977'
'2014-02-10 06:00:00', '+48 596786402', '+48 084734876'
'2014-05-02 18:00:00', '+48 205779935', '+48 684565082'
'1989-04-15 23:00:00', '+48 125544032', '+48 753568681'
'2018-10-21 03:00:00', '+48 234387229', '+48 155325574'
'2005-05-25 13:00:00', '+48 783158844', '+48 771488952'
'1994-08-01 02:00:00', '+48 149168579', '+48 917412320'
'2015-02-26 23:00:00', '+48 719197037', '+48 079920791'
'1992-10-17 04:00:00', '+48 666558837', '+48 793182580'
'2013-05-31 11:00:00', '+48 674197123', '+48 103862824'
'1987-04-08 04:00:00', '+48 757424187', '+48 031577362'
'2007-07-15 12:00:00', '+48 807306713', '+48 519259482'
'2014-05-24 13:00:00', '+48 752009888', '+48 839385779'
'1994-04-01 09:00:00', '+48 286817139', '+48 737419474'
'2007-02-13 21:00:00', '+48 971495999', '+48 443074127'
'2000-12-15 01:00:00', '+48 251522069', '+48 938953137'
'2017-11-22 17:00:00', '+48 458170060', '+48 864286508'
'1992-03-13 13:00:00', '+48 487236776', '+48 118743864'
'2006-03-19 12:00:00', '+48 406511246', '+48 607033699'
'1993-03-08 19:00:00', '+48 947711312', '+48 443656320'
'1991-06-09 19:00:00', '+48 160058173', '+48 729758351'
'2020-06-27 05:00:00', '+48 217858197', '+48 325257551'
'2021-07-06 06:00:00', '+48 237741512', '+48 526257631'
'1995-12-18 02:00:00', '+48 616417525', '+48 672117885'
'2017-09-13 11:00:00', '+48 683044332', '+48 791453218'
'2007-12-17 06:00:00', '+48 101014651', '+48 688065046'
'2004-12-17 03:00:00', '+48 680226277', '+48 533667308'
'2020-04-02 12:00:00', '+48 774778254', '+48 973508991'
'2016-12-09 07:00:00', '+48 260347412', '+48 346452830'
'2022-12-02 00:00:00', '+48 605995178', '+48 133570918'
'2013-09-03 10:00:00', '+48 865946833', '+48 216936126'
'1986-04-26 02:00:00', '+48 972878187', '+48 763311706'
'2010-03-22 20:00:00', '+48 794928962', '+48 572435289'
'2020-04-20 20:00:00', '+48 280566350', '+48 860829187'
'2010-07-04 23:00:00', '+48 176125163', '+48 793979777'
'1999-07-04 15:00:00', '+48 885603937', '+48 595482782'
'2009-02-14 04:00:00', '+48 340748090', '+48 375945940'
'2019-05-11 23:00:00', '+48 516100559', '+48 605626278'
'2011-12-29 08:00:00', '+48 207087522', '+48 929253489'
'2008-06-03 22:00:00', '+48 955821678', '+48 519559651'
'2002-09-27 12:00:00', '+48 867279654', '+48 818515268'
'2016-07-16 22:00:00', '+48 286676299', '+48 957025131'
'1998-10-28 22:00:00', '+48 053649011', '+48 296412280'
'1989-07-11 17:00:00', '+48 310476985', '+48 286365672'
'1989-06-27 04:00:00', '+48 482229334', '+48 646812806'
'1985-07-06 10:00:00', '+48 513609397', '+48 435036514'
'2008-08-19 22:00:00', '+48 435577703', '+48 276574283'
'2013-08-02 05:00:00', '+48 383638170', '+48 770656809'
'1996-04-01 13:00:00', '+48 004311894', '+48 811171571'
'1999-03-06 12:00:00', '+48 539423327', '+48 259001123'
'2015-05-16 04:00:00', '+48 389253702', '+48 945778854'
'1992-01-13 19:00:00', '+48 498218151', '+48 282378222'
